Acid Splash	0	Sorcerer Wizard
Aid	2	Cleric Paladin
Alarm	1	Ranger Wizard
Alter Self	2	Sorcerer Wizard
Animal Friendship	1	Bard Druid Ranger
Animal Messenger	2	Bard Druid Ranger
Animal Shapes	8	Druid
Animate Dead	3	Cleric Wizard
Animate Objects	5	Bard Sorcerer Wizard
Antilife Shell	5	Druid
Antimagic Field	8	Cleric Wizard
Antipathy/Sympathy	8	Druid Wizard
Arcane Eye	4	Wizard
Arcane Gate	6	Sorcerer Warlock Wizard
Arcane Lock	2	Wizard
Armor of Agathys	1	Warlock
Arms of Hadar	1	Warlock
Astral Projection	9	Cleric Warlock Wizard
Augury	2	Cleric
Aura of Life	4	Paladin
Aura of Purity	4	Paladin
Aura of Vitality	3	Paladin
Awaken	5	Bard Druid
Bane	1	Bard Cleric
Banishing Smite	5	Paladin
Banishment	4	Cleric Paladin Sorcerer Warlock Wizard
Barkskin	2	Druid Ranger
Beacon of Hope	3	Cleric
Beast Sense	2	Druid Ranger
Bestow Curse	3	Bard Cleric Wizard
Bigby’s Hand	5	Wizard
Blade Barrier	6	Cleric
Blade Ward	0	Bard Sorcerer Warlock Wizard
Bless	1	Cleric Paladin
Blight	4	Druid Sorcerer Warlock Wizard
Blinding Smite	3	Paladin
Blindness/Deafness	2	Bard Cleric Sorcerer Wizard
Blink	3	Sorcerer Wizard
Blur	2	Sorcerer Wizard
Branding Smite	2	Paladin
Burning Hands	1	Sorcerer Wizard
Call Lightning	3	Druid
Calm Emotions	2	Bard Cleric
Chain Lightning	6	Sorcerer Wizard
Charm Person	1	Bard Druid Sorcerer Warlock Wizard
Chill Touch	0	Sorcerer Warlock Wizard
Chromatic Orb	1	Sorcerer Wizard
Circle of Death	6	Sorcerer Warlock Wizard
Circle of Power	5	Paladin
Clairvoyance	3	Bard Cleric Sorcerer Wizard
Clone	8	Wizard
Cloud of Daggers	2	Bard Sorcerer Warlock Wizard
CloudkilI	5	Wizard
Cloudkill	5	Sorcerer
Color Spray	1	Sorcerer Wizard
Command	1	Cleric Paladin
Commune	5	Cleric
Commune with Nature	5	Druid Ranger
Compelled Duel	1	Paladin
Comprehend Languages	1	Bard Sorcerer Warlock Wizard
Compulsion	4	Bard
Cone of Cold	5	Sorcerer Wizard
Confusion	4	Bard Druid Sorcerer Wizard
Conjure Animals	3	Druid Ranger
Conjure Barrage	3	Ranger
Conjure Celestial	7	Cleric
Conjure Elemental	5	Druid Wizard
Conjure Fey	6	Druid Warlock
Conjure Minor Elementals	4	Druid Wizard
Conjure Volley	5	Ranger
Conjure Woodland Beings	4	Druid Ranger
Contact Other Plane	5	Warlock Wizard
Contagion	5	Cleric Druid
Contingency	6	Wizard
Continual Flame	2	Cleric Wizard
Control Water	4	Cleric Druid Wizard
Control Weather	8	Cleric Druid Wizard
Cordon of Arrows	2	Ranger
Counterspell	3	Sorcerer Warlock Wizard
Create Food and Water	3	Cleric Paladin
Create Undead	6	Cleric Warlock Wizard
Create or Destroy Water	1	Cleric Druid
Creation	5	Sorcerer Wizard
Crown of Madness	2	Bard Sorcerer Warlock Wizard
Crusader's Mantle	3	Paladin
Cure Wounds	1	Bard Cleric Druid Paladin Ranger
Dancing Lights	0	Bard Sorcerer Wizard
Darkness	2	Sorcerer Warlock Wizard
Darkvision	2	Druid Ranger Sorcerer Wizard
Daylight	3	Cleric Druid Paladin Ranger Sorcerer
Death Ward	4	Cleric Paladin
Delayed Blast Fireball	7	Sorcerer Wizard
Demiplane	8	Warlock Wizard
Destructive Smite	5	Paladin
Detect Evil and Good	1	Cleric Paladin
Detect Magic	1	Bard Cleric Druid Paladin Ranger Sorcerer Wizard
Detect Poison and Disease	1	Cleric Druid Paladin Ranger
Detect Thoughts	2	Bard Sorcerer Wizard
Dimension Door	4	Bard Sorcerer Warlock Wizard
Disguise Self	1	Bard Sorcerer Wizard
Disintegrate	6	Sorcerer Wizard
Dispel Evil and Good	5	Cleric Paladin
Dispel Magic	3	Bard Cleric Druid Paladin Sorcerer Warlock Wizard
Dissonant Whispers	1	Bard
Divination	4	Cleric
Divine Favor	1	Paladin
Divine Word	7	Cleric
Dominate Beast	4	Druid Sorcerer
Dominate Monster	8	Bard Sorcerer Warlock Wizard
Dominate Person	5	Bard Sorcerer Wizard
Drawmij’s Instant	6	Wizard
Dream	5	Bard Warlock Wizard
Druidcraft	0	Druid
Earthquake	8	Cleric Druid Sorcerer
Eldritch Blast	0	Warlock
Elemental Weapon	3	Paladin
Enhance Ability	2	Bard Cleric Druid Sorcerer
Enlarge/Reduce	2	Sorcerer Wizard
Ensnaring Strike	1	Ranger
Entangle	1	Druid
Enthrall	2	Bard Warlock
Etherealness	7	Bard Cleric Sorcerer Warlock Wizard
Evard's Black Tentacles	4	Wizard
Evil and Good	1	Cleric Paladin Warlock Wizard
Expeditious Retreat	1	Sorcerer Warlock Wizard
Eyebite	6	Bard Sorcerer Warlock Wizard
Fabricate	4	Wizard
Faerie Fire	1	Bard Druid
False Life	1	Sorcerer Wizard
Fear	3	Bard Sorcerer Warlock Wizard
Feather Fall	1	Bard Sorcerer Wizard
Feeblemind	8	Bard Druid Warlock Wizard
Feign Death	3	Bard Cleric Druid Wizard
Find Familiar	1	Wizard
Find Steed	2	Paladin
Find Traps	2	Cleric Druid Ranger
Find the Path	6	Bard Cleric Druid
Finger of Death	7	Sorcerer Warlock Wizard
Fire Bolt	0	Sorcerer Wizard
Fire Shield	4	Wizard
Fire Storm	7	Cleric Druid Sorcerer
Fireball	3	Sorcerer Wizard
Flame Blade	2	Druid
Flame Strike	5	Cleric
Flaming Sphere	2	Druid Wizard
Flesh to Stone	6	Warlock Wizard
Fly	3	Sorcerer Warlock Wizard
Fog Cloud	1	Druid Ranger Sorcerer Wizard
Forbiddance	6	Cleric
Forcecage	7	Bard Warlock Wizard
Foresight	9	Bard Druid Warlock Wizard
Freedom of Movement	4	Bard Cleric Druid Ranger
Friends	0	Bard Sorcerer Warlock Wizard
Gaseous Form	3	Sorcerer Warlock Wizard
Gate	9	Cleric Sorcerer Wizard
Geas	5	Bard Cleric Druid Paladin Wizard
Gentle Repose	2	Cleric Wizard
Giant Insect	4	Druid
Glibness	8	Bard Warlock
Globe of Invulnerability	6	Sorcerer Wizard
Glyph o f Warding	3	Bard Cleric
Glyph of Warding	3	Wizard
Goodberry	1	Druid Ranger
Grasping Vine	4	Druid Ranger
Grease	1	Wizard
Greater Invisibility	4	Bard Sorcerer Wizard
Greater Restoration	5	Bard Cleric Druid
Guardian of Faith	4	Cleric
Guards and Wards	6	Bard Wizard
Guidance	0	Cleric Druid
Guiding Bolt	1	Cleric
Gust of Wind	2	Druid Sorcerer Wizard
Hail o f Thorns	1	Ranger
Hallow	5	Cleric
Hallucinatory Terrain	4	Bard Druid Warlock Wizard
Harm	6	Cleric
Haste	3	Sorcerer Wizard
Heal	6	Cleric Druid
Healing Word	1	Bard Cleric Druid
Heat Metal	2	Bard Druid
Hellish Rebuke	1	Warlock
Heroes’ Feast	6	Cleric Druid
Heroism	1	Bard Paladin
Hex	1	Warlock
Hold Monster	5	Bard Sorcerer Warlock Wizard
Hold Person	2	Bard Cleric Druid Sorcerer Warlock Wizard
Holy Aura	8	Cleric
Hunger of Hadar	3	Warlock
Hunter’s Mark	1	Ranger
Hypnotic Pattern	3	Bard Sorcerer Warlock Wizard
Ice Storm	4	Druid Sorcerer Wizard
Identify	1	Bard Wizard
Illusory Script	1	Bard Warlock Wizard
Imprisonment	9	Warlock Wizard
Incendiary Cloud	8	Sorcerer Wizard
Inflict Wounds	1	Cleric
Insect Plague	5	Cleric Druid Sorcerer
Invisibility	2	Bard Sorcerer Warlock Wizard
Jump	1	Druid Ranger Sorcerer Wizard
Knock	2	Bard Sorcerer Wizard
Legend Lore	5	Bard Cleric Wizard
Leomund’s Secret Chest	4	Wizard
Leomund’s Tiny Hut	3	Bard Wizard
Lesser Restoration	2	Bard Cleric Druid Paladin Ranger
Levitate	2	Sorcerer Wizard
Light	0	Bard Cleric Sorcerer Wizard
Lightning Arrow	3	Ranger
Lightning Bolt	3	Sorcerer Wizard
Locate Animals or Plants	2	Bard Druid Ranger
Locate Creature	4	Bard Cleric Druid Paladin Ranger Wizard
Locate Object	2	Bard Cleric Druid Paladin Ranger Wizard
Longstrider	1	Bard Druid Ranger Wizard
Mage Armor	1	Sorcerer Wizard
Mage Hand	0	Bard Sorcerer Warlock Wizard
Magic Circle	3	Cleric Paladin Warlock Wizard
Magic Jar	6	Wizard
Magic Missile	1	Sorcerer Wizard
Magic Mouth	2	Bard Wizard
Magic Weapon	2	Paladin Wizard
Magnificent Mansion	7	Wizard
Major Image	3	Bard Sorcerer Warlock Wizard
Mass Cure Wounds	5	Bard Cleric Druid
Mass Heal	9	Cleric
Mass Healing Word	3	Cleric
Mass Suggestion	6	Bard Sorcerer Warlock Wizard
Maze	8	Wizard
Meld into Stone	3	Cleric Druid
Melf’s Acid Arrow	2	Wizard
Mending	0	Bard Cleric Druid Sorcerer Wizard
Message	0	Bard Sorcerer Wizard
Meteor Swarm	9	Sorcerer Wizard
Mind Blank	8	Bard Wizard
Minor Illusion	0	Bard Sorcerer Warlock Wizard
Mirage Arcane	7	Bard Druid Wizard
Mirror Image	2	Sorcerer Warlock Wizard
Mislead	5	Bard Wizard
Misty Step	2	Sorcerer Warlock Wizard
Modify Memory	5	Bard Wizard
Moonbeam	2	Druid
Mordenkainen's	7	Wizard
Mordenkainen’s Faithful Hound	4	Wizard
Mordenkainen’s Magnificent Mansion	7	Bard
Mordenkainen’s Private Sanctum	4	Wizard
Mordenkainen’s Sword	7	Bard Wizard
Move Earth	6	Druid Sorcerer Wizard
Nondetection	3	Bard Ranger Wizard
Nystul’s Magic Aura	2	Wizard
Otiluke’s Freezing Sphere	6	Wizard
Otiluke’s Resilient Sphere	4	Wizard
Otto’s Irresistible Dance	6	Bard Wizard
Pass without Trace	2	Druid Ranger
Passwall	5	Wizard
Phantasmal Force	2	Bard Sorcerer Wizard
Phantasmal Killer	4	Wizard
Phantom Steed	3	Wizard
Planar Ally	6	Cleric
Planar Binding	5	Bard Cleric Druid Wizard
Plane Shift	7	Cleric Druid Sorcerer Warlock Wizard
Plant Growth	3	Bard Druid Ranger
Poison Spray	0	Druid Sorcerer Warlock Wizard
Polymorph	4	Bard Druid Sorcerer Wizard
Power Word Heal	9	Bard
Power Word Kill	9	Bard Sorcerer Warlock Wizard
Power Word Stun	8	Bard Sorcerer Warlock Wizard
Prayer of Healing	2	Cleric
Prestidigitation	0	Bard Sorcerer Warlock Wizard
Prismatic Spray	7	Sorcerer Wizard
Prismatic Wall	9	Wizard
Produce Flame	0	Druid
Programmed Illusion	6	Bard Wizard
Project Image	7	Bard Wizard
Protection from	1	Cleric Paladin Warlock Wizard
Protection from Energy	3	Cleric Druid Ranger Sorcerer Wizard
Protection from Poison	2	Cleric Druid Paladin Ranger
Purify Food and Drink	1	Cleric Druid Paladin
Raise Dead	5	Bard Cleric Paladin
Rary’s Telepathic Bond	5	Wizard
Ray of Enfeeblement	2	Warlock Wizard
Ray of Frost	0	Sorcerer Wizard
Ray of Sickness	1	Sorcerer Wizard
Regenerate	7	Bard Cleric Druid
Reincarnate	5	Druid
Remove Curse	3	Cleric Paladin Warlock Wizard
Resistance	0	Cleric Druid
Resurrection	7	Bard Cleric
Reverse Gravity	7	Druid Sorcerer Wizard
Revivify	3	Cleric Paladin
Rope Trick	2	Wizard
Sacred Flame	0	Cleric
Sanctuary	1	Cleric
Scorching Ray	2	Sorcerer Wizard
Scrying	5	Bard Cleric Druid Warlock Wizard
Searing Smite	1	Paladin
See Invisibility	2	Bard Sorcerer Wizard
Seeming	5	Bard Sorcerer Wizard
Sending	3	Bard Cleric Wizard
Sequester	7	Wizard
Shapechange	9	Druid Wizard
Shatter	2	Bard Sorcerer Warlock Wizard
Shield	1	Sorcerer Wizard
Shield of Faith	1	Cleric Paladin
Shillelagh	0	Druid
Shocking Grasp	0	Sorcerer Wizard
Silence	2	Bard Cleric Ranger
Silent Image	1	Bard Sorcerer Wizard
Simulacrum	7	Wizard
Sleep	1	Bard Sorcerer Wizard
Sleet Storm	3	Druid Sorcerer Wizard
Slow	3	Sorcerer Wizard
Spare the Dying	0	Cleric
Speak with Animals	1	Bard Druid Ranger
Speak with Dead	3	Bard Cleric
Speak with Plants	3	Bard Druid Ranger
Spider Climb	2	Sorcerer Warlock Wizard
Spike Growth	2	Druid Ranger
Spirit Guardians	3	Cleric
Spiritual Weapon	2	Cleric
Staggering Smite	4	Paladin
Stinking Cloud	3	Bard Sorcerer Wizard
Stone Shape	4	Cleric Druid Wizard
Stoneskin	4	Druid Ranger Sorcerer Wizard
Storm o f Vengeance	9	Druid
Suggestion	2	Bard Sorcerer Warlock Wizard
Summons	6	Wizard
Sunbeam	6	Druid Sorcerer Wizard
Sunburst	8	Druid Sorcerer Wizard
Swift Quiver	5	Ranger
Symbol	7	Bard Cleric Wizard
Tasha’s Hideous Laughter	1	Bard Wizard
Telekinesis	5	Sorcerer Wizard
Telepathy	8	Wizard
Teleport	7	Bard Sorcerer Wizard
Teleportation Circle	5	Bard Sorcerer Wizard
Tenser’s Floating Disk	1	Wizard
Thaumaturgy	0	Cleric
Thorn Whip	0	Druid
Thunderous Smite	1	Paladin
Thunderwave	1	Bard Druid Sorcerer Wizard
Time Stop	9	Sorcerer Wizard
Tongues	3	Bard Cleric Sorcerer Warlock Wizard
Transport via Plants	6	Druid
Trap the Soul	8	Wizard
Tree Stride	5	Druid Ranger
True Polymorph	9	Bard Warlock Wizard
True Resurrection	9	Cleric Druid
True Seeing	6	Bard Cleric Sorcerer Warlock Wizard
True Strike	0	Bard Sorcerer Warlock Wizard
Tsunami	8	Druid
Unseen Servant	1	Bard Warlock Wizard
Vampiric Touch	3	Warlock Wizard
Vicious Mockery	0	Bard
Wall o f Thorns	6	Druid
Wall of Fire	4	Druid Sorcerer Wizard
Wall of Force	5	Wizard
Wall of Ice	6	Wizard
Wall of Stone	5	Druid Sorcerer Wizard
Warding Bond	2	Cleric
Water Breathing	3	Druid Ranger Sorcerer Wizard
Water Walk	3	Cleric Druid Ranger Sorcerer
Web	2	Sorcerer Wizard
Weird	9	Wizard
Wind Walk	6	Druid
Wind Wall	3	Druid Ranger
Wish	9	Sorcerer Wizard
Witch Bolt	1	Sorcerer Warlock Wizard
Word of Recall	6	Cleric
Wrathful Smite	1	Paladin
Zone of Truth	2	Bard Cleric Paladin